player_id,offensive_value,defensive_value,vaep_value,player,team,position_group,minutes,attack_far_per90,defense_far_per90,possession_far_per90,total_far,total_far_per90,xg_per90
5503.0,3.9522928096462526,-0.1593549308449837,3.792937878801269,Lionel Andrés Messi Cuccittini,Argentina,ST,720,0.4940366012057816,-0.0199193663556229,0.0,3.792937878801269,0.4741172348501586,0.949831153125
3009.0,3.584540087963552,0.0164356360805335,3.600975724044085,Kylian Mbappé Lottin,France,W,642,0.5025056198079745,0.002304061132785,0.0,3.600975724044085,0.5048096809407596,0.7032829734112149
22084.0,3.0693464978147347,0.0508373668015735,3.1201838646163083,Bukayo Saka,England,W,378,0.7307967851939844,0.0121041349527556,0.0,3.1201838646163083,0.74290092014674,0.1379655869047619
29560.0,2.7803579033266037,0.0413080376628727,2.821665940989476,Julián Álvarez,Argentina,ST,477,0.5245958308163402,0.0077939693703533,0.0,2.821665940989476,0.5323898001866936,0.3600617798113207
20750.0,2.318708443301972,0.4682261984309548,2.786934641732927,Cody Mathès Gakpo,Netherlands,CAM,452,0.4616897342857909,0.0932308802185529,0.0,2.786934641732927,0.5549206145043438,0.1119757362610619
5258.0,2.6128834529314027,0.0651226503827047,2.678006103314108,Giorgian Daniel De Arrascaeta Benedetti,Uruguay,CM,213,1.104035261802001,0.0275166128377625,0.0,2.678006103314108,1.1315518746397637,0.4793713394366197
3604.0,2.451098530845684,0.0139885499883121,2.465087080833996,Olivier Giroud,France,ST,524,0.4209902056796022,0.0024026135476108,0.0,2.465087080833996,0.423392819227213,0.521442699389313
29163.0,1.8879911918030032,0.5163056792830503,2.404296871086053,Josip Juranović,Croatia,FB,709,0.2396603769566576,0.0655395079484831,0.0,2.404296871086053,0.3051998849051408,0.0052434302115655
6704.0,2.3756432941532357,0.0170360619736307,2.392679356126866,Theo Bernard François Hernández,France,FB,642,0.3330341066569955,0.0023882329869575,0.0,2.392679356126866,0.3354223396439532,0.036351824859813
37211.0,1.568581289073791,0.7804170445621139,2.3489983336359046,Kaoru Mitoma,Japan,FB,186,0.7589909463260277,0.3776211505945712,0.0,2.3489983336359046,1.1366120969205988,0.4053069222580645
